square_footage,num_bedrooms,age_of_house,random_noise,distance_to_school,crime_rate,location,interaction_feature,house_price
2248.3570765056165,4,42,31.206959779496756,4.297163770511212,0.3904740242970427,downtown,311.20876351660456,833127.9376234394
1930.8678494144076,1,18,14.993167006339107,4.149518786285859,0.4104404897154661,downtown,354.49488112717614,528082.0118262962
2323.844269050346,3,68,-61.993418740489616,3.302394921023547,0.329084763926335,downtown,266.92447152615387,982249.849806478
2761.514928204013,5,50,240.73775839312188,3.7127791311550054,0.17205817622594216,downtown,402.1204101437153,886101.0602610307
1882.923312638332,3,10,17.259410391486618,2.837233361000431,0.7489059821353286,rural,280.99949055324396,646591.7865016698
1882.9315215254096,3,11,-44.272505218466186,6.285996148340926,0.5020165933762419,rural,195.19027337581704,656583.6476848987
2789.6064077536957,1,73,15.161882736063022,3.6018308803155965,0.7388320365048915,suburban,333.5660786073602,935351.2139563048
2383.717364576454,1,7,2.5426702611634773,3.166968692644769,0.8130745349169299,downtown,435.44376476048325,848114.6359184163
1765.262807032524,1,23,18.780254789108838,6.262257019723995,0.5106834961819088,suburban,323.17855794143907,531435.9220095008
2271.2800217929826,2,91,-159.37170153510328,5.554430531508995,0.23730217366187506,suburban,293.5436559890194,788874.1918128673
1768.291153593769,4,40,129.19466965668656,6.206751583923439,0.4607623708295068,rural,331.53641938369344,735314.2162682558
1767.1351232148716,2,35,134.88294204391502,6.374124836294982,0.3657712786473757,suburban,313.0979862340552,717247.2165702978
2120.981135783017,4,84,147.03207720364858,7.906182345407636,0.10396990818900248,downtown,300.73550254156277,934429.0371622698
1043.359877671101,4,71,32.54317585362977,4.765940349960223,0.3996542190142244,suburban,182.42170296178173,439220.3822413183
1137.5410837434836,3,54,66.24810601645157,2.8135884815067387,0.4856925575870974,rural,223.10987219529656,510812.45936176035
1718.8562353795137,3,8,-86.62269480072499,5.406556701143188,0.371335120847069,suburban,250.77591971265159,685465.4490027296
1493.5844398327881,4,46,83.28993285973895,3.9964930656802737,0.34569098260970255,suburban,184.9695564350939,619236.7820456515
2157.123666297637,4,14,25.178770689393904,3.563742075026689,0.24449283557340906,downtown,418.8738327865438,872374.4062803938
1545.9879622393946,2,47,-46.040661563924225,5.149887758325861,0.5391844296708554,suburban,247.93693646289768,538905.5307631906
1293.8481493323543,2,81,86.47446916408404,6.298629099514384,0.8738538566432482,suburban,143.0045284996822,460279.4127846924
2732.824384460777,3,41,90.34490360911002,3.746007737605575,0.7557247776102296,downtown,429.7865948195599,796546.4026054356
1887.1118497567322,1,59,6.060883567493301,6.911582130997578,0.630725377597393,suburban,283.17639779963815,492857.784119847
2033.764102343962,4,83,43.838258012840306,3.5155790614957763,0.6350818237862083,downtown,377.38300814790136,860226.1670728269
1287.6259068932716,2,69,-103.17170119335606,4.6341451680118055,0.473471371148175,downtown,197.09627818964228,341594.83508429874
1727.8086377374086,3,11,124.31834372143582,5.579461822671302,0.13909736414259188,downtown,216.8801442428208,708442.0200625109
2055.461294854933,2,1,-89.88131880349017,4.418151186973913,0.4261136621078601,downtown,344.42215172277054,687258.9916788863
